8/9/2022 "ADU Task Force Update" "foreign policy"
Amends a contract with Colorado Women’s Employment and Education, Incorporated (CWEE) by adding $850,000 for a new total of $2,750,000 and one year for a new end date of 6-30-20 for services and support for individuals and families in the Temporary Assistance for Needy Families (TANF) program including case management, life skills clas" welfare
9/6/2019 "A resolution approving a proposed Fourth Amendatory Agreement between the City and County of Denver and Mile High Montessori Early Learning Centers to extend the term, modify the scope of work and budget, and increase the maximum contract amount.
Amends a contract with Mile High Montessori Early Learning Centers by adding $217,548 for a new total of $1,053,096 and one year for a new end date of 6-30-20 for short term child care at the Good Beginnings Child Care Center (GBCCC) for Denver Department of Human Services clients that are participating in programs, classes, job search workshops, int" welfare
8/30/2019 "A resolution approving and providing for the execution of a proposed amended Grant Agreement between the City and County of Denver and the Colorado Department of Human Services concerning the “Unaccompanied Refugee Minor” program and the funding therefor.
Amends a grant agreement with Colorado Department of Human Services, Office of Local Affairs by adding $688,354 for a new total of $1,065,928 and one year for a new end date of 9-30-20 for placement and supportive services for Unaccompanied Refugee Minor (URM) youth placed into the custody of Denver Human Services (SOCSV- 2018-41856-02). The" welfare
9/9/2019 "A bill for an ordinance changing the zoning classification for 18300 East 66th Avenue in DIA.
Approves an official map amendment to rezone property located at 18300 East 66th Avenue from C-MU-20 with waivers and conditions, AIO to S-CC-5, AIO (urban center, multi-unit to suburban commercial corridor with airport influence overlay) in Council District 11. The Committee approved filing this item at its meeting on 9-24-19." infrastructure
9/9/2019 "A bill for an ordinance changing the zoning classification for 3395 Brighton Boulevard and 3333 Brighton Boulevard in Five Points.
Approves an official map amendment to rezone properties located at 3333 and 3395 Brighton Boulevard from PUD-G#7, UO-2 to C-MX-8, IO-1, DO-7 and C-MX-8, IO-1, DO-7 with waivers (planned development to urban center, mixed-use) in Council District 9. The Committee approved filing this item at its meeting on 9-24-19." infrastructure
9/9/2019 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as East Buchtel Boulevard at East Buchtel Boulevard between South Pennsylvania Street and East Arizona Avenue.
Dedicates a parcel of land as public right of way as East Buchtel Boulevard, located at East Buchtel Boulevard between South Pennsylvania Street and East Arizona Avenue in Council District 7. The Committee approved filing this item at its meeting on 9-17-19." infrastructure
9/9/2019 "A resolution accepting and approving the plat of High Point Subdivision Filing No. 2
Approves a subdivision plat for High Point Subdivision Filing No. 2, located between East 64th Avenue and 69th Avenue, and North Argonne Street and North Dunkirk Street in Council District 11. The Committee approved filing this item at its meeting on 9-17-19." government
9/9/2019 "A resolution laying out, opening and establishing as part of the City street system parcels of land as East 17th Avenue at or near the intersection of North York Street and East 17th Avenue.
Dedicates a parcel of City owned land as public right of way as East 17th Avenue, located near the intersection of North York Street and East 17th Avenue in Council District 9. The Committee approved filing this item at its meeting on 9-9-19." infrastructure
9/6/2019 "A resolution laying out, opening and establishing as part of the City street system parcels of land as Curtis Street and North Downing Street at or near the intersection of Curtis Street, North Downing Street and 33rd Street.
Dedicates parcels of land as public right of way as Curtis Street and North Downing Street, located near the intersections of 33rd Street, North Downing Street and Curtis Street in Council District 9. The Committee approved filing this item at its meeting on 9-17-19." infrastructure
9/6/2019 "A bill for an ordinance designating 2288 South Milwaukee Street as a structure for preservation.
Approves an individual landmark designation for property located at 2288 South Milwaukee Street in Council District 6. The Committee approved filing this item at its meeting on 9-24-19." infrastructure
8/29/2019 "A resolution approving a proposed Contract between the City and County of Denver and Ames Construction, Inc. for the construction of the Jackson Street Storm Phase 1 Project.
Approves a contract with Ames Construction, Inc. for $10,458,100 and for 500 days for construction of the Jackson Street Storm Phase 1 project to help reduce flooding located in an area nearby Colfax Avenue and Jackson Street in Council Districts 9 and 10 (201950597). The last regularly scheduled Council meeting within the 30-day review period is on 10-21-19. The Committee approved filing this item at its meeting on 9-17" welfare
9/9/2019 "A resolution approving a proposed Agreement between the City and County of Denver and Air General, Inc. concerning the use and lease of building space to provide cargo handling services at Denver International Airport. 
Approves a use and lease agreement with Air General, Inc. for rates and charges and for one year to lease 22,483.24 square feet of building space and 71,227.989 square feet of ground space in the Joint Use Cargo Building to provide cargo handling services to several of Denver International Airport’s signatory airlines (201950687). The last regularly scheduled Council meeting w" infrastructure
9/9/2019 "A resolution approving a proposed Contract between the City and County of Denver and Mead and Hunt, Inc. concerning environmental planning services at Denver International Airport.
Approves a contract with Mead and Hunt, Inc. for $900,000 and for three years to provide on-call environmental planning services to Denver International Airport (201844905). The last regularly scheduled Council meeting within the 30-day review period is on 10-21-19. The Committee approved filing this item at its meeting on 9-18-19. Pursuant to Council Rule 3.7, Councilwoman Sawyer called out this resolution at the" infrastructure
9/6/2019 "A resolution approving a proposed Third Amendatory Agreement between the City and County of Denver and Bias Corporation to extend the term.
Amends a contract with Bias Corporation by adding three years for a new end date of 12-31-22 for on-call professional services to assist with troubleshooting, patching and supporting Oracle products, including business intelligence, identity and access management and service-oriented architecture. No change to contract amount (201312974). The last regularly scheduled Council meeting within the 30-day review period is on 10-21-19. The Committee approved fi" infrastructure
9/6/2019 "A resolution approving a proposed Purchase Order between the City and County of Denver and World Wide Technology, LLC concerning software and hardware at Denver International Airport. 
Approves a purchase order with World Wide Technology, LLC for $528,417.93 for software/hardware for the vBlock system to support information technology at Denver International Airport (PO-00071792). The last regularly scheduled Council meeting within the 30-day review period is on 10-21-19. The Committee approved filing this item at its meeting on 9-18-19." infrastructure
9/6/2019 "A resolution approving a proposed License Agreement and Covenant between the City and County of Denver and C.P. Bedrock, LLC for access and maintenance of property located at East 45th Avenue between Yampa Street and Tower Road.
Approves a license agreement and covenant with C.P. Bedrock, LLC for access across approximately 812 square feet of City owned property along East 45th Avenue between Yampa Street and Tower Road in Council District 11 (FINAN-201950751). The last regularly scheduled Council meeting within the 30-day review period is on 10-21-19. The Committee approved filing this item" infrastructure
8/30/2019 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the sum of One Million Five-Hundred Fifty-Thousand and 10/100 Dollars ($1,550,000.10), of which $609,268.80 will be paid to the Jester Gibson & Moore LLP Trust Account, and $940,731.30 will be paid to the individual plaintiffs for wages and compensatory damages, in payment and satisfaction of all claims filed by the 15 plaintiffs in the lawsuit against the City in the United States District Court, District of Colorado, Case No. 15-cv-02539-CMA-STV.
Settles a claim i" infrastructure
9/5/2019 "Executive Session.
The Council will meet in executive session for the purpose of receiving legal advice. Rachelle Hill, City Attorney’s Office" law
9/4/2019 "A resolution approving the separation from employment of the executive director of city council effective September 9, 2019.
Council member Clark approved direct filing this item on 9-5-19." government
9/3/2019 "A resolution approving a proposed Agreement between the City and County of Denver and Denver College Success Corporation to administer the voter-approved Denver College Affordability Fund for one year to distribute grants to non-profits that provide scholarships to Denver youth.
Approves a contract with Denver College Success Corporation for $11,844,613 and for one year to provide grants to non-profits for scholarships for youth to administer the voter approved Denver College Affordability Fund (MOEAI-201951693). The last regularly scheduled Council meeting within the 30-day review period is" welfare
9/3/2019 "Amends Chapter 24 and Chapter 32 of the Denver Revised Municipal Code (DRMC) to prohibit the sale of tobacco products to persons under twenty-one years of age and require a license to operate a retail tobacco store. The Committee approved filing this item at its meeting on 9-11-19." welfare
8/23/2019 "A bill for an ordinance amending Section 18-95 to increase the number of positions the district attorney is authorized to appoint.
Amends Section 18-95 of the Denver Revised Municipal Code (DRMC) to amend the number of positions the District Attorney is authorized to appoint in the combined classification of chief deputy and senior chief deputy district attorney from twenty-three attorneys to twenty-eight attorneys. The Committee approved filing this item at its meeting on 10-10-19." infrastructure
9/4/2019 "DEN Today" economy
8/30/2019 "A resolution laying out, opening and establishing as part of the City street system parcels of land as North Detroit Street near the intersection of East Colfax Avenue and North Detroit Street.
Dedicates city owned land as North Detroit Street, located near the intersection of East Colfax Avenue and North Detroit Street in Council District 9. The Committee approved filing this item at its meeting on 9-10-19." infrastructure
8/30/2019 "A bill for an ordinance amending Chapter 30 (Landmark Preservation) of the Revised Municipal Code.
Amends Chapter 30 of the Denver Revised Municipal Code (DRMC), Landmark Ordinance to simplify designation criteria, add criteria associated with cultural significance, to extend time frames for demolition/designation review process, to add required mediation and to clarify language and ensure consistency throughout the ordinance. The Committee approved filing this item at its meeting on 9-10-19." infrastructure
8/30/2019 "A bill for an ordinance designating 4345 West 46th Avenue as a structure for preservation.
Approves an individual landmark designation for property located at 4345 West 46th Avenue in Council District 1. The Committee approved filing this item at its meeting on 9-10-19." infrastructure
8/29/2019 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the Colorado Department of Transportation concerning the “McAuliffe School Safe Routes to Schools” program and the funding therefor.
Approves a grant agreement with the Colorado Department of Transportation for $500,000 of State funds with a match of $125,000 of City funds for a total of $625,000 and for ten years for the Safe Routes to School Program to improve pedestrian crossings at McAuliffe International School in Council District 8 (201951572). The last regularl" welfare
8/29/2019 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as North Yates Street at the intersection of West 13th Avenue and North Yates Street.
Dedicates city owned land as North Yates Street, located near the intersection of West 13th Avenue and North Yates Street in Council District 1. The Committee approved filing this item at its meeting on 9-10-19." infrastructure
8/29/2019 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and Jewish Family Service of Colorado, Inc. to provide TANF support services.
Amends a contract with Jewish Family Service of Colorado, Inc. by adding $489,311 for a new total of $1,954,311 and one year for a new end date of 6-30-20 for case management services and support for individuals and families in the Temporary Assistance for Needy Families (TANF) program, to build effective relationships with participants and assist families in becoming stable and self-sufficient (SOCSV-2017-34826-02)." welfare
9/4/2019 "Commons on Champa Presentation" government
9/3/2019 "A resolution approving a proposed Master Purchase Order between the City and County of Denver and ITW GSE, Inc. concerning passenger bridge components at Denver International Airport.
Approves a master purchase order with ITW GSE, Inc. for $3,000,000 and through 1-31-21, with options for three, one-year extensions for passenger bridge components at Denver International Airport (SC-00004222). The last regularly scheduled Council meeting within the 30-day review period is on 10-14-19. The Committee approved filing this item at its meeting on 9-11-19." infrastructure
8/30/2019 "A resolution approving the Mayor’s appointment to the RiNo General Improvement District.
Approves the Mayoral appointment of James Roupp to the RiNo General Improvement District for a term effective immediately and expiring 12-31-21, or until a successor is duly appointed.  The Committee approved filing this resolution by consent on 9-10-19." infrastructure
8/30/2019 "A resolution approving the Mayor’s appointment to the Bluebird Business Improvement District.
Approves the Mayoral appointment of Jareb Parker to the Bluebird Business Improvement District for a term effective immediately and expiring 5-31-21, or until a successor is duly appointed.  The Committee approved filing this resolution by consent on 9-10-19." infrastructure
8/27/2019 "A bill for an ordinance making a rescission and a supplemental appropriation from the General Fund Contingency to Human Rights and Community Partnerships.
Approves a supplemental appropriation of $150,000 from General Fund Contingency for Human Rights and Community Partnerships to continue providing direct legal representation to immigrants through the Legal Defense Fund. The Committee approved filing this item at its meeting on 9-10-19." welfare
8/26/2019 "A resolution approving the Mayor’s reappointments to the Tourism Improvement District.
Approves the Mayoral reappointments of Allen Paty and Navin Dimond to the Tourism Improvement District for terms effective immediately and expiring 8-31-22, or until a successor is duly appointed.  The Committee approved filing this resolution by consent on 9-10-19." welfare
8/26/2019 "A bill for an ordinance authorizing a rescission, a cash transfer, and a supplemental appropriation from the General Fund Contingency to the Human Services Special Revenue Fund.
Approves a supplemental appropriation of $1,000,000 from General Fund Contingency to transfer cash to Denver Human Services to fund the General Fund match for provision of day shelter services in 2019. The Committee approved filing this item at its meeting on 9-10-19." welfare
8/12/2019 "A proclamation recognizing National Preparedness Month, September 2019." welfare
9/3/2019 "Human Services" economy
9/3/2019 "Climate Change Item Summary" environment
9/3/2019 "Denver Public Library" law
9/3/2019 "Arts & Venues" welfare
9/3/2019 "Public Works" government
9/3/2019 "Denver Economic Development & Opportunity" welfare
9/3/2019 "Denver Health" welfare
9/3/2019 "Department of Public Health & Enviornment" welfare
9/3/2019 "Department of Housing Stability" welfare
9/3/2019 "Parks & Recreation" infrastructure
9/3/2019 "Denver International Airport" infrastructure
9/3/2019 "General Services" government
9/3/2019 "National Western Center" infrastructure
9/3/2019 "North Denver Cornerstone Collaborative" welfare
9/3/2019 "Community Planning and Development" infrastructure
9/3/2019 "Sheriff Department" law
9/3/2019 "Police Department" law
9/3/2019 "Fire Department" infrastructure
9/3/2019 "Department of Safety" law
9/3/2019 "Technology Services" economy
9/3/2019 "Department of Finance" economy
9/3/2019 "2020 Budget Overview" infrastructure
8/9/2019 "A resolution approving a proposed Contract between the City and County of Denver and Concrete Works of Colorado, Inc. for the construction of Phase 2 of the 27th Street Storm Interceptor project to improve drainage conditions.
Approves a contract with Concrete Works of Colorado, Inc. for $5,135,998 and for 210 days for the construction of Phase 2 of the 27th Street Storm Interceptor project to improve drainage conditions in Basin 0062-1 located from 27th Street and Arapahoe Street southeast to 27th Street and California Street in Council District 9 (201950389). The last regularly scheduled Co" infrastructure
8/23/2019 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as North Josephine Street at the intersection of East 14th Avenue and North Josephine Street.
Dedicates city owned land as North Josephine Street, located at the intersection of East 14th Avenue and North Josephine Street in Council District 10. The Committee approved filing this item at its meeting on 9-3-19." infrastructure
8/23/2019 "A resolution approving a proposed Contract between the City and County of Denver and BT Construction, Inc. for the construction of the General Storm-Valverde project to improve drainage conditions.
Approves a contract with BT Construction, Inc. for $4,554,470.45 and for 300 days for the construction of the General Storm-Valverde project to improve drainage conditions by installing a 42"" diameter storm pipe in West Alameda Avenue and abandoning an existing undersized drainage system in Council District 7 (201950316). The last regularly scheduled Council meeting within the 30-day review period" infrastructure
8/23/2019 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Conduent State & Local Solutions, Inc. to extend the term.
Amends a contract with Xerox State & Local Solutions, Inc. by adding sixteen months for a new end date of 2-28-21 and changing the legal name to Conduent State & Local Solutions, Inc. for the City's Parking Management Information System (PMIS) to assist and support the City in successfully implementing and operating a complete, fully functional system citywide. No change to contract amount (201418112-01). The last regularly scheduled Counc" infrastructure
8/23/2019 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Colorado Designscapes, Inc. to extend the term and add compensation for landscape and irrigation construction services.
Amends a contract with Colorado Designscapes, Inc. by adding $750,000 for a new total of $3,250,000 and five months for a new end date of 7-31-20 for on-call site development, landscape and irrigation construction services citywide (201631171). The last regularly scheduled Council meeting within the 30-day review period is on 10-14-19. The Committee approved filing this item at i" infrastructure
8/23/2019 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and ECI Site Construction Management, Inc. to extend the term by five months.
Amends a contract with ECI Site Construction Management, Inc. by adding five months for a new end date of 7-31-20 for on-call site development, landscape and irrigation construction services citywide. No change to contract amount (201631146). The last regularly scheduled Council meeting within the 30-day review period is on 10-14-19. The Committee approved filing this item at its meeting on 9-3-19." infrastructure
8/23/2019 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and CTM, Inc. to extend the term and add compensation for landscape and irrigation construction services.
Amends a contract with CTM, Inc. by adding $750,000 for a new total of $3,250,000 and five months for a new end date of 7-31-20 for on-call site development, landscape and irrigation construction services citywide (201631142). The last regularly scheduled Council meeting within the 30-day review period is on 10-14-19. The Committee approved filing this item at its meeting on 9-3-19." infrastructure
8/22/2019 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Goodland Construction, Inc. to extend the term and add compensation for landscape and irrigation construction services.
Amends a contract with Goodland Construction, Inc. by adding five months for a new end date of 7-31-20 for on-call site development, landscape and irrigation construction services citywide. No change to contract amount (201732897). The last regularly scheduled Council meeting within the 30-day review period is on 10-14-19. The Committee approved filing this item at its meeting on" infrastructure
8/22/2019 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and T2 Construction, Inc. to extend the term and add compensation for landscape and irrigation construction services.
Amends a contract with T2 Construction by adding $500,000 for a new total of $3,000,000 and five months for a new end date of 7-31-20 for on-call site development, landscape and irrigation construction services citywide (201631182). The last regularly scheduled Council meeting within the 30-day review period is on 10-14-19. The Committee approved filing this item at its meeting on 9-3-" infrastructure
8/22/2019 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Richdell Construction, Inc. to extend the term by five months.
Amends a contract with Richdell Construction, Inc. by adding five months for a new end date of 7-31-20 for on-call site development, landscape and irrigation construction services citywide. No change to contract amount (201732900). The last regularly scheduled Council meeting within the 30-day review period is on 10-14-19. The Committee approved filing this item at its meeting on 9-3-19." infrastructure
8/26/2019 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the United States of America Department of Housing and Urban Development concerning the “Emergency Solutions Grant FY19” program and the funding therefor.
Approves a grant agreement with U.S Department of Housing and Urban Development (HUD) for $582,032 to provide rapid rehousing and emergency shelter services to individuals and families experiencing homelessness through the Emergency Solutions Program, citywide (SOCSV-2019-51522). The last regularly scheduled Council" welfare
8/23/2019 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and AIDS Resource Center of Wisconsin, Inc. to provide services to individuals living with HIV/AIDS in the Denver Transitional Grant Area.
Amends a contract with AIDS Resource Center of Wisconsin, doing business as Rocky Mountain CARES, by adding $379,108 for a new total of $839,866 and one year for a new end date of 2-29-20 to provide care, treatment, and supportive services to individuals living with HIV/AIDS in the Denver Transitional Grant Area (TGA), which includes, and is limited to Adams" welfare
8/26/2019 "A resolution approving the Mayor’s appointment to the Denver Health and Hospital Authority.
Approves the Mayoral appointment of Richard James Chavez to the Denver Health and Hospital Authority for a term effective immediately and expiring 6-30-20, or until a successor is duly appointed.  The Committee approved filing this resolution by consent on 9-3-19." welfare
8/23/2019 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Rave Wireless, Inc. to increase funds, extend the amount, and add licenses for Smart911 used by 911 dispatchers.
Amends a contract with Rave Wireless, Inc. by adding $725,586.76 for a new total of $1,110,661.76, adding five years for a new end date of 6-30-25, and adding licenses for Smart911 used by 911 dispatchers for access to a secure national database of Smart911 citizen profiles in which members of the community register and provide information about themselves, their family members, their h" welfare
8/22/2019 "A resolution approving the joint Mayoral-City Council appointment of Arash Jahanian to the Citizen Oversight Board Nominating Committee. 
The Committee approved filing this item at its meeting on 8-28-19." government
8/22/2019 "Briefing: Presentation on items 19-0870 and 19-0871" law
8/12/2019 "A proclamation recognizing September 2019 as Childhood Cancer Awareness Month." welfare
8/9/2019 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as North Inca Street near the intersection of West 29th Avenue and North Inca Street.
Dedicates a parcel of land as public right of way as North Inca Street, located near the intersection of West 29th Avenue and North Inca Street in Council District 9. The Committee approved filing this item at its meeting on 9-10-19." infrastructure
8/21/2019 "A resolution approving a proposed Agreement between the City and County of Denver to be administered by the Department of Safety, Division of Community Corrections in consultation with the Denver Community Corrections Board and Corecivic, Inc. for residential and non-residential community corrections services.
Approves a contract with Corecivic, Inc. for $6,680,446.70 and through 6-30-20 for residential and non-residential community corrections services (2019-50074). The last regularly scheduled Council meeting within the 30-day review period is on 9-16-19. Council member Kashmann approved di" infrastructure
8/21/2019 "A resolution approving a proposed Agreement between the City and County of Denver to be administered by the Department of Safety, Division of Community Corrections in consultation with the Denver Community Corrections Board and Community Education Centers, Inc. for residential and non-residential community corrections services.
Approves a contract with Community Education Centers, Inc. for $2,000,000 and through 12-31-19 for residential and non-residential community corrections services (2019-51449). The last regularly scheduled Council meeting within the 30-day review period is on 9-16-19. C" infrastructure
8/21/2019 "A resolution approving a proposed Revival and Amendatory Agreement between the City and County of Denver to be administered by the Department of Safety, Division of Community Corrections in consultation with the Denver Community Corrections Board and Correctional Management, Inc. to add additional funds for residential and non-residential community corrections services.
Amends a contract with Correctional Management, Inc. by adding $60,368.01 for a new total of $6,029,912.01 for residential and non-residential community corrections services provided in Fiscal Years 2018 and 2019 (201951095)." infrastructure
8/20/2019 "A bill for an ordinance changing the zoning classification for 4225 Elati Street in Globeville.
Approves an official map amendment to rezone property from I-A UO-2 to C-RX-12 (industrial to urban center, mixed-use), located at 4225 Elati Street in Council District 9. The Committee approved filing this item at its meeting on 8-27-19." infrastructure
8/20/2019 "A bill for an ordinance changing the zoning classification for 3900 Elati Street and 3958 Elati Street in Globeville.
Approves an official map amendment to rezone properties from I-A UO-2 to C-RX-12 (industrial to urban center, residential mixed-use), located at 3900 and 3958 Elati Street in Council District 9. The Committee approved filing this item at its meeting on 8-27-19." infrastructure
8/16/2019 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as South Syracuse Street near South Syracuse Street and Interstate 225.
Dedicates a parcel of land as public right of way as South Syracuse Street, located near the intersection of South Syracuse Street and I-225 in Council District 4. The Committee approved filing this item at its meeting on 8-27-19." infrastructure
8/16/2019 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as North Zenobia Street at the intersection of West 13th Avenue and North Zenobia Street.
Dedicates City owned land as North Zenobia Street, located near the intersection of West 13th Avenue and North Zenobia Street in Council District 1. The Committee approved filing this item at its meeting on 8-27-19." infrastructure
8/16/2019 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as North Sheridan Boulevard near the intersection of West 26th Avenue and North Sheridan Boulevard.
Dedicates a parcel of land as public right of way as North Sheridan Boulevard, located at the intersection of West 26th Avenue and North Sheridan Boulevard in Council District 1. The Committee approved filing this item at its meeting on 8-27-19." infrastructure
8/16/2019 "Dedicates a parcel of land as public right of way as public alley, as South Broadway and as West Bayaud Avenue, located at the corner of South Broadway and West Bayaud Avenue, and the alley bounded by South Broadway, West Bayaud Avenue, South Bannock Street and West Archer Place in Council District 7." government
8/16/2019 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as a public alley bounded by 21st Street, Lawrence Street, 22nd Street and Arapahoe Street.
Dedicates a parcel of land as public right of way as public alley, located in the alley bounded by 21st Street, Lawrence Street, 22nd Street, and Arapahoe Street in Council District 9. The Committee approved filing this item at its meeting on 8-27-19." infrastructure
8/16/2019 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the State of Colorado Department of Natural Resources concerning the “Land and Water Conservation Fund - Heron Pond/Heller/Carpio-Sanguinette” program and the funding therefor.
Approves a grant agreement with Colorado Department of Natural Resources for $750,000 and through 6-30-22 for improvements of trails, picnic shelters and environmental education signage at Heron Pond/Heller/Carpio-Sanguinette Park, in Council District 9 (201951478). The last regularly scheduled" welfare
8/16/2019 "A resolution laying out, opening and establishing as part of the City street system parcels of land as North Raleigh Street and West Colfax Avenue near the intersection of West Colfax Avenue and North Raleigh Street.
Dedicates a parcel of land as public right of way as North Raleigh Street and West Colfax Avenue, located near the intersection of West Colfax Avenue and North Raleigh Street in Council District 1. The Committee approved filing this item at its meeting on 8-27-19." infrastructure
8/12/2019 "A bill for an ordinance authorizing cash transfers from the Capital Improvement Fund to the Human Services Special Revenue Fund and the Economic Opportunity Special Revenue Fund. 
Transfers $9,950,000 in cash from the Capital Improvements Fund received from the sale of 1701 S. Platte Street, allocates $3,200,000 to the DHS Homeless Services Fund and $6,750,000 to the Affordable Housing Property Tax and Other Local Revenue Fund. The Committee approved filing this item at its meeting on 9-10-19." welfare
8/20/2019 "Update on Audit of the DIA Westin Hotel" government
8/19/2019 "A bill for an ordinance authorizing a rescission, a cash transfer, and a supplemental appropriation from the General Contingency Fund to the Capital Improvement Fund.
Approves a supplemental appropriation of $1,450,000 from General Fund Contingency to transfer to the Other Agency Capital Project Fund to provide sufficient budget capacity to fund a settlement in support of the National Western Center Office in Council District 9. The Committee approved filing this item at its meeting on 8-27-19." welfare
8/19/2019 "A resolution approving a proposed Settlement Agreement between the City and County of Denver and The Denver Rock Island Railroad for $16,750,000 for the acquisition and relocation of rail facilities at the National Western Center and resolution of all related matters.
Approves a settlement with The Denver Rock Island Railroad for $16,750,000 for the acquisition of real property interests and relocation of rail operations to consolidate and relocate more than 14,000 feet of railroad tracks, re-establishing access to the South Platte River and providing a newer and safer rail corridor for visit" infrastructure
8/19/2019 "A bill for an ordinance approving a proposed Loan Agreement between the City and County of Denver and The Housing Authority of the City and County of Denver, to-support the construction of the Sun Valley Gateway North family-tenancy public housing development.
Approves a loan agreement with the Denver Housing Authority for $2,375,000 and for sixty years to support the construction of the Sun Valley Gateway North public housing development, providing 95 units of family housing, with 43 units covered by project-based Section 8 vouchers, located in the Sun Valley Neighborhood in Council District" welfare
8/19/2019 " +A bill for an ordinance approving a proposed Loan Agreement between the City and County of Denver and The Housing Authority of the City and County of Denver, to support the construction of the Sun Valley Gateway South public housing development.
Approves a loan agreement with the Denver Housing Authority for $580,000 and sixty years to support the construction of the Sun Valley Gateway South public housing development, providing 92 units of family housing, with 58 units carrying affordability restrictions, located in the Sun Valley Neighborhood in Council District 3 (OEDEV-201951285). The l" welfare
8/19/2019 "A bill for an ordinance authorizing a rescission, a cash transfer, and a supplemental appropriation from the General Contingency Fund to the Liability Claims Special Revenue Fund.
Approves a supplemental appropriation of $1,550,000 from General Fund Contingency to transfer to the Liability and Claims Special Revenue Fund to provide sufficient budget capacity to fund a legal settlement. The Committee approved filing this item at its meeting on 8-27-19." government
8/16/2019 "AS AMENDED a bill for an ordinance amending the City Retail Sales Tax Article, Article II, Chapter 53 of the Revised Municipal Code and the City Use Tax Article, Article III, Chapter 53 of the Revised Municipal Code to exempt the passthrough of the federal excise tax imposed on trucks, trailers, and tractors from taxation.
Amends Chapter 53 of the Denver Revised Municipal Code (DRMC) to exempt federal excise tax from being included in the taxable purchase price for heavy trucks and trailers. The Committee approved filing this item at its meeting on 8-27-19. Amended 9-16-19 to clarify that “us" infrastructure
8/16/2019 "A bill for an ordinance amending the classification and pay plan for employees in the Career Service and for certain employees not in the Career Service.
Amends the Classification and Pay Plan by creating a new classification series for the Department of Finance - Assessment Division and abolishing the current associated classifications.  The Committee approved filing this bill by consent on 8-27-19." economy
8/16/2019 "A resolution approving a proposed Master Purchase Order between the City and County of Denver and K&H Printers-Lithographers, Inc. for the printing and mailing of all City and County of Denver election ballots and envelopes for up to and including five (5) years.
Approves a master purchase order with K&H Printers-Lithographers, Inc. for $8,000,000 and through 12-31-22, with two additional mutually agreed upon one-year renewal options, for the printing and mailing of all inserts and ballots for all local, state, and national election cycles (SC-00004194). The last regularly scheduled Council m" government
8/16/2019 "A bill for an ordinance authorizing a rescission, a cash transfer, and supplemental appropriations from the General Contingency Fund to the Capital Improvement Fund and the Human Services Special Revenue Fund.
Approves a supplemental appropriation of $3,700,000 from General Fund Contingency to transfer $3,500,000 to the Strategic Shelter Facilities Fund and $200,000 to the Denver Human Services Homeless Services Fund to support the purchase and associated costs of furnishing property located at 1901 29th Street, known as the Crossroads shelter, to preserve the City’s current shelter needs, in" welfare
8/12/2019 "A resolution approving a proposed Purchase and Sale Agreement between the City and County of Denver and The Salvation Army for the purchase of real property located at 1901 29th Street.
Approves a purchase and sale agreement with The Salvation Army, for $10,500,000 to acquire property located at 1901 29th Street, known as the Crossroads shelter, to preserve the City’s current shelter needs, in Council District 9 (FINAN-201951595). The last regularly scheduled Council meeting within the 30-day review period is on 9-30-19. The Committee approved filing this item at its meeting on 8-27-19." welfare
8/20/2019 "Briefing: Transition from Jail to Community Collaborative - Servicios de la Raza re-entry programming" law
8/12/2019 "A proclamation celebrating La Raza & Barnum Park Day - Cruise Down Fedz on August 25th, 2019." infrastructure
8/12/2019 "A bill for an ordinance amending the Denver Zoning Code.
Approves text amendment #6 to the Denver Zoning Code to add a new Temporary Tiny Home Village use and associated regulations and procedures, updates and clarifies outreach procedures related to Large Development Review, and amends regulations for an affordable housing parking reduction. The Committee approved filing this item at its meeting on 8-20-19." welfare
8/12/2019 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as South Colorado Boulevard at the intersection of South Colorado Boulevard and East Arizona Avenue.
Dedicates a parcel of land as public right of way as South Colorado Boulevard, located at the intersection of South Colorado Boulevard and East Arizona Avenue in Council District 6. The Committee approved filing this item at its meeting on 8-20-19." infrastructure
